,site,njumps,org3,orgpos,coun3,counpos
1,www.ufmg.br,18.1111111111,Latin American and Caribbean IP address Regional Registry,12.6111111111,UY,12.6111111111
2,www.ufmg.br,18.1111111111,Asia Pacific Network Information Centre,17.1111111111,US,4.55555555556
3,www.ufmg.br,18.1111111111,"Level 3 Communications, Inc.",8.4375,AU,17.1111111111
4,www.stackoverflow.com,9.33333333333,RIPE Network Coordination Centre,8.27272727273,US,4.66666666667
5,www.stackoverflow.com,9.33333333333,"CloudFlare, Inc.",9.22222222222,NL,8.27272727273
6,www.stackoverflow.com,9.33333333333,Internet Assigned Numbers Authority,1.0,*,4.6
7,www.facebook.com,10.1111111111,"ANS Communications, Inc",8.0,US,5.13513513514
8,www.facebook.com,10.1111111111,"ANS CO+RE Systems, Inc.",5.81818181818,NL,9.0
9,www.facebook.com,10.1111111111,RIPE Network Coordination Centre,9.09090909091,AU,8.0
10,processing.org,10.0, data and services are subject to the Terms of Use,7.0,US,5.0
11,processing.org,10.0,"ANS CO+RE Systems, Inc.",5.0,NL,7.0
12,processing.org,10.0,Linode,10.0,*,4.0
